COLUMN_NAME,taxa,unit,TAXA_NAME,group,comments
ctyp_10m2,ctyp,10m2,Centropages typicus,zp,
calfin_10m2,calfin,10m2,Calanus finmarchicus,zp,
pseudo_10m2,pseudo,10m2,Pseudocalanus spp.,zp,
penilia_10m2,penilia,10m2,Penilia spp.,zp,
tlong_10m2,tlong,10m2,Temora longicornis,zp,
cham_10m2,cham,10m2,Centropages hamatus,zp,
echino_10m2,echino,10m2,Echinodermata,zp,
larvaceans_10m2,larvaceans,10m2,Appendicularians,zp,
para_10m2,para,10m2,Paracalanus parvus,zp,
gas_10m2,gas,10m2,Gastropoda,zp,
acarspp_10m2,acarspp,10m2,Acartia spp.,zp,
mlucens_10m2,mlucens,10m2,Metridia lucens,zp,
evadnespp_10m2,evadnespp,10m2,Evadne spp.,zp,
salps_10m2,salps,10m2,Salpa,zp,
oithspp_10m2,oithspp,10m2,Oithona spp.,zp,
cirr_10m2,cirr,10m2,Cirripedia,zp,
chaeto_10m2,chaeto,10m2,Chaetognatha,zp,
hyper_10m2,hyper,10m2,Hyperiidea,zp,
gam_10m2,gam,10m2,Gammaridea,zp,
evadnord_10m2,evadnord,10m2,Evadne nordmanni,zp,
calminor_10m2,calminor,10m2,Calanus minor,zp,
copepoda_10m2,copepoda,10m2,Copepoda,zp,
clauso_10m2,clauso,10m2,Clausocalanus arcuicornis,zp,
dec_10m2,dec,10m2,Decapoda,zp,
euph_10m2,euph,10m2,EuphausiaceaMany,zp,
prot_10m2,prot,10m2,Protozoa,zp,
acarlong_10m2,acarlong,10m2,Acartia longiremis,zp,
euc_10m2,euc,10m2,Eucalanus spp.,zp,
pel_10m2,pel,10m2,Pelecypoda,zp,
poly_10m2,poly,10m2,Polychaeta,zp,
podon_10m2,podon,10m2,Podon spp.,zp,
fish_10m2,fish,10m2,Pisces,zp,
bry_10m2,bry,10m2,Bryozoa,zp,
fur_10m2,fur,10m2,Clausocalanus furcatus,zp,
calspp_10m2,calspp,10m2,Calanus spp.,zp,
oncaea_10m2,oncaea,10m2,Oncaea spp.,zp,
cory_10m2,cory,10m2,Corycaeidae,zp,
ost_10m2,ost,10m2,Ostracoda,zp,
tstyl_10m2,tstyl,10m2,Temora stylifera,zp,
oithspin_10m2,oithspin,10m2,Oithona spinirostris,zp,
mysids_10m2,mysids,10m2,Mysidacea,zp,
temspp_10m2,temspp,10m2,Temora spp.,zp,
tort_10m2,tort,10m2,Tortanus discaudatus,zp,
paraspp_10m2,paraspp,10m2,Paracalanus spp.,zp,
scyphz_10m2,scyphz,10m2,Scyphozoa,zp,
anthz_10m2,anthz,10m2,Anthozoa,zp,
siph_10m2,siph,10m2,Siphonophores,zp,
hydrom_10m2,hydrom,10m2,Hydromedusea,zp,
coel_10m2,coel,10m2,Coelenterates,zp,
ctenop_10m2,ctenop,10m2,Ctenophores,zp,
euph1_10m2,euph1,10m2,Euphausiacea1,zp,
thysin_10m2,thysin,10m2,Thysanoessa inermis,zp,
megan_10m2,megan,10m2,Meganyctiphanes norvegica,zp,
thysra_10m2,thysra,10m2,Thysanoessa raschii,zp,
thyslo_10m2,thyslo,10m2,Thysanoessa longicaudata,zp,
eupham_10m2,eupham,10m2,Euphausia americana,zp,
euphkr_10m2,euphkr,10m2,Euphausia krohnii,zp,
euphspp_10m2,euphspp,10m2,Euphausia spp.,zp,
thysgr_10m2,thysgr,10m2,Thysanoessa gregaria,zp,
nemaspp_10m2,nemaspp,10m2,Nematoscelis spp.,zp,
stylspp_10m2,stylspp,10m2,Stylocheiron spp.,zp,
stylel_10m2,stylel,10m2,Stylocheiron elongatum,zp,
nemame_10m2,nemame,10m2,Nematoscelis megalops,zp,
thysspp_10m2,thysspp,10m2,Thysanoessa spp.,zp,
shysac_10m2,shysac,10m2,Thysanopoda acutifrons,zp,
thypsp_10m2,thypsp,10m2,Thysanoessa spinifera,zp,
nemabo_10m2,nemabo,10m2,Nematobrachion boopis,zp,
thecos_10m2,thecos,10m2,Thecosomata,zp,
spirre_10m2,spirre,10m2,Spiratella retroversa,zp,
spirhe_10m2,spirhe,10m2,Spiratella helicina,zp,
spirin_10m2,spirin,10m2,Spiratella inflata,zp,
spirtr_10m2,spirtr,10m2,Spiratella trochiformes,zp,
spirspp_10m2,spirspp,10m2,Spiratella spp.,zp,
clispp_10m2,clispp,10m2,Clione spp.,zp,
crevir_10m2,crevir,10m2,Creseis virgula conica,zp,
diatri_10m2,diatri,10m2,Diacria trispinosa,zp,
clicus_10m2,clicus,10m2,Clione cuspidata,zp,
clipyr_10m2,clipyr,10m2,Clione pyramidata,zp,
cavunc_10m2,cavunc,10m2,Cavolina uncinata,zp,
cavinf_10m2,cavinf,10m2,Cavolina inflexa,zp,
cavlon_10m2,cavlon,10m2,Cavolina longirostris,zp,
stysub_10m2,stysub,10m2,Styliola subula,zp,
spirbu_10m2,spirbu,10m2,Spiratella bulimoides,zp,
crespp_10m2,crespp,10m2,Creseis spp.,zp,
cavspp_10m2,cavspp,10m2,Cavolinia,zp,
cavoli_10m2,cavoli,10m2,Cavoliniidae,zp,
gymnos_10m2,gymnos,10m2,Gymnosomata,zp,
pnespp_10m2,pnespp,10m2,Pneumodermopsis,zp,
paedol_10m2,paedol,10m2,Paedoclione doliiformis,zp,
clilim_10m2,clilim,10m2,Clione limacina,zp,
pnepau_10m2,pnepau,10m2,Pneumodermopsis paucidens,zp,
paupau_10m2,paupau,10m2,Pneumodermopsis paucidens,zp,this was a typo in v3_8
ctyp_100m3,ctyp,100m3,Centropages typicus,zp,
